table,schema_file,needs_rls,rls_enabled,policy_present,audit_trigger,status
verification_token,platform.ts,true,false,false,false,RLS_MISSING
vulnerability,isms.ts,true,false,false,false,RLS_MISSING
wb_anonymous_mailbox,whistleblowing.ts,true,false,false,false,RLS_MISSING
wb_case,whistleblowing.ts,true,false,false,false,RLS_MISSING
wb_case_evidence,whistleblowing.ts,true,false,false,false,RLS_MISSING
wb_case_message,whistleblowing.ts,true,false,false,false,RLS_MISSING
wb_evidence,whistleblowing-advanced.ts,true,true,true,true,OK
wb_interview,whistleblowing-advanced.ts,true,true,true,true,OK
wb_investigation,whistleblowing-advanced.ts,true,true,true,true,OK
wb_investigation_log,whistleblowing-advanced.ts,true,true,true,false,AUDIT_MISSING
wb_ombudsperson_activity,whistleblowing-advanced.ts,true,true,true,false,AUDIT_MISSING
wb_ombudsperson_assignment,whistleblowing-advanced.ts,true,true,true,true,OK
wb_protection_case,whistleblowing-advanced.ts,true,true,true,true,OK
wb_protection_event,whistleblowing-advanced.ts,true,true,true,true,OK
wb_report,whistleblowing.ts,true,false,false,false,RLS_MISSING
webhook_delivery_log,event-bus.ts,true,true,true,false,AUDIT_MISSING
webhook_registration,event-bus.ts,true,true,true,true,OK
widget_definition,dashboard.ts,true,false,false,false,RLS_MISSING
work_item,work-item.ts,true,true,true,true,OK
work_item_link,work-item.ts,true,true,true,true,OK
work_item_type,work-item.ts,false,false,false,false,PLATFORM_EXEMPT
